model,class,metric,mean,sd,is_best
Li24 (GAT),C1,precision,0.863,0.162,1
Li24 (GAT),C1,recall,0.445,0.192,0
Li24 (GAT),C1,f1,0.562,0.191,0
Li24 (GCN),C1,precision,0.835,0.175,0
Li24 (GCN),C1,recall,0.427,0.215,0
Li24 (GCN),C1,f1,0.533,0.217,0
MoGCN,C1,precision,0.0,0.0,0
MoGCN,C1,recall,0.0,0.0,0
MoGCN,C1,f1,0.0,0.0,0
MOGNN-TF (GAT),C1,precision,0.794,0.141,0
MOGNN-TF (GAT),C1,recall,0.618,0.183,0
MOGNN-TF (GAT),C1,f1,0.67,0.149,0
MOGNN-TF (GCN),C1,precision,0.833,0.131,0
MOGNN-TF (GCN),C1,recall,0.645,0.192,1
MOGNN-TF (GCN),C1,f1,0.709,0.142,1
Li24 (GAT),C2,precision,0.727,0.161,0
Li24 (GAT),C2,recall,0.53,0.106,0
Li24 (GAT),C2,f1,0.609,0.117,0
Li24 (GCN),C2,precision,0.722,0.124,0
Li24 (GCN),C2,recall,0.633,0.106,0
Li24 (GCN),C2,f1,0.668,0.091,0
MoGCN,C2,precision,0.343,0.167,0
MoGCN,C2,recall,0.079,0.052,0
MoGCN,C2,f1,0.122,0.072,0
MOGNN-TF (GAT),C2,precision,0.707,0.088,0
MOGNN-TF (GAT),C2,recall,0.794,0.076,1
MOGNN-TF (GAT),C2,f1,0.742,0.051,1
MOGNN-TF (GCN),C2,precision,0.765,0.088,1
MOGNN-TF (GCN),C2,recall,0.718,0.103,0
MOGNN-TF (GCN),C2,f1,0.737,0.077,0
Li24 (GAT),C3,precision,0.792,0.051,0
Li24 (GAT),C3,recall,0.828,0.047,0
Li24 (GAT),C3,f1,0.808,0.033,0
Li24 (GCN),C3,precision,0.795,0.034,0
Li24 (GCN),C3,recall,0.826,0.063,0
Li24 (GCN),C3,f1,0.809,0.039,0
MoGCN,C3,precision,0.755,0.04,0
MoGCN,C3,recall,0.873,0.049,1
MoGCN,C3,f1,0.809,0.037,0
MOGNN-TF (GAT),C3,precision,0.815,0.057,0
MOGNN-TF (GAT),C3,recall,0.827,0.052,0
MOGNN-TF (GAT),C3,f1,0.819,0.038,1
MOGNN-TF (GCN),C3,precision,0.82,0.045,1
MOGNN-TF (GCN),C3,recall,0.819,0.055,0
MOGNN-TF (GCN),C3,f1,0.818,0.039,0
Li24 (GAT),C4,precision,0.874,0.046,0
Li24 (GAT),C4,recall,0.904,0.029,0
Li24 (GAT),C4,f1,0.888,0.028,0
Li24 (GCN),C4,precision,0.875,0.026,0
Li24 (GCN),C4,recall,0.918,0.035,0
Li24 (GCN),C4,f1,0.896,0.023,0
MoGCN,C4,precision,0.864,0.028,0
MoGCN,C4,recall,0.938,0.022,1
MoGCN,C4,f1,0.899,0.021,0
MOGNN-TF (GAT),C4,precision,0.913,0.033,1
MOGNN-TF (GAT),C4,recall,0.899,0.05,0
MOGNN-TF (GAT),C4,f1,0.905,0.03,0
MOGNN-TF (GCN),C4,precision,0.891,0.056,0
MOGNN-TF (GCN),C4,recall,0.924,0.033,0
MOGNN-TF (GCN),C4,f1,0.906,0.027,1
Li24 (GAT),C5,precision,0.824,0.057,0
Li24 (GAT),C5,recall,0.767,0.057,0
Li24 (GAT),C5,f1,0.792,0.036,0
Li24 (GCN),C5,precision,0.845,0.084,0
Li24 (GCN),C5,recall,0.736,0.088,0
Li24 (GCN),C5,f1,0.784,0.073,0
MoGCN,C5,precision,0.885,0.044,1
MoGCN,C5,recall,0.672,0.072,0
MoGCN,C5,f1,0.762,0.048,0
MOGNN-TF (GAT),C5,precision,0.853,0.089,0
MOGNN-TF (GAT),C5,recall,0.758,0.057,0
MOGNN-TF (GAT),C5,f1,0.799,0.04,0
MOGNN-TF (GCN),C5,precision,0.833,0.059,0
MOGNN-TF (GCN),C5,recall,0.782,0.071,1
MOGNN-TF (GCN),C5,f1,0.803,0.04,1
Li24 (GAT),C6,precision,0.929,0.026,0
Li24 (GAT),C6,recall,0.965,0.028,0
Li24 (GAT),C6,f1,0.947,0.018,0
Li24 (GCN),C6,precision,0.952,0.029,1
Li24 (GCN),C6,recall,0.962,0.021,0
Li24 (GCN),C6,f1,0.957,0.019,0
MoGCN,C6,precision,0.944,0.031,0
MoGCN,C6,recall,0.982,0.014,1
MoGCN,C6,f1,0.962,0.021,1
MOGNN-TF (GAT),C6,precision,0.94,0.027,0
MOGNN-TF (GAT),C6,recall,0.957,0.027,0
MOGNN-TF (GAT),C6,f1,0.948,0.022,0
MOGNN-TF (GCN),C6,precision,0.947,0.03,0
MOGNN-TF (GCN),C6,recall,0.959,0.035,0
MOGNN-TF (GCN),C6,f1,0.952,0.026,0
Li24 (GAT),C7,precision,0.3,0.11,0
Li24 (GAT),C7,recall,0.196,0.095,0
Li24 (GAT),C7,f1,0.229,0.085,0
Li24 (GCN),C7,precision,0.265,0.104,0
Li24 (GCN),C7,recall,0.142,0.06,0
Li24 (GCN),C7,f1,0.18,0.069,0
MoGCN,C7,precision,0.312,0.15,0
MoGCN,C7,recall,0.093,0.037,0
MoGCN,C7,f1,0.143,0.059,0
MOGNN-TF (GAT),C7,precision,0.269,0.083,0
MOGNN-TF (GAT),C7,recall,0.226,0.073,0
MOGNN-TF (GAT),C7,f1,0.244,0.075,0
MOGNN-TF (GCN),C7,precision,0.321,0.107,1
MOGNN-TF (GCN),C7,recall,0.235,0.075,1
MOGNN-TF (GCN),C7,f1,0.262,0.068,1
Li24 (GAT),C8,precision,0.865,0.04,0
Li24 (GAT),C8,recall,0.886,0.036,0
Li24 (GAT),C8,f1,0.874,0.022,0
